ID,Title,Brand,Category,Description,Specifications
A5Y8wEwAn6Fo0zYQ5BM2GP,"","Mountson","Accessories/Wall Mounts","No description available","Material: Precision-engineered, high-grade steel; Dimensions (Each) (W x H x D): 5.70"""" x 3.62"" x&nbsp;7.32""; Weight (Each):&nbsp;1.96 lbs: "
A5Y8wEwAn6Fo0zYQ5BM3KK,"","Kanto","Speakers/Floor Standing Speakers","No description available","Top Plate: Top plate with 4 holes for direct mounting; Top Plate Dimensions: 5.9"" x 7.9""; Height: 34""; Maximum Speaker Weight: 30 lb (13.6 kg) per stand; Cable Management: Openings at the top and bottom of the column allow for cable routing; Speaker Attachment: 4 holes in corner of top plate for direct mounting; Base: Natural finished plywood base; Feet: Isolating floor spikes or rubber feet included; Construction: Steel column with plywood base; Compatible with Kanto YU4, YU, YU6, TUK, YUP4, YUP6 or other similarly sized speakers: "
A5Y8wEwAn6Fo0zYQ5BM56Y,"","Kanto","Accessories/Speaker Stands","No description available","Height: 26""; Interchangeable top plate dimensions (W x L): 4.3"" x 7.1""; Bottom Plate Dimensions (W x L): 8.9"" x 10.6""; Weight: 34.4 lbs."
A5Y8wEwAn6Fo0zYQ5BM6cZ,"","Sanus","Accessories/HDMI Cables","No description available","Model Code: SAC-21HDMI2; Speed: Up To 8K @ 60Hz; Length: 6.56 ft. (2m); Jacket: Braided Cotton"
A5Y8wEwAn6Fo0zYQ5BM7Yv,"","Meze Audio","Accessories/Headphone Cables","No description available","Material: Silver-plated copper custom wires; Design: 8 wire to 4 wire continuous braid; Length: 1.2 meters (3.9 feet); Connections: 2 x 3.5 mm TS connection; Compatibility: 99 NEO, 99 CLASSICS, 109 PRO, LIRIC"
A5Y8wEwAn6Fo0zYQ5BMAeC,"","Shure","Studio Equipment/Microphones","No description available","Type: Dynamic; Frequency response: 50 to 20,000Hz; Polar pattern: Cardioid (unidirectional); Output level: Open circuit voltage: -59dB (1.12mV)"
BwEkTpjVMW9iHZxZmNGMJD,"","JBL","Speakers/Subwoofers","No description available","Type: Powered Subwoofer; Low Frequency Driver: 10-inch (250mm) Polycellulose Ribbed High Excursion; Amplifier Power: 150W RMS (300W Dynamic); Frequency Response ± 6dB: 28Hz-150Hz; Crossover Frequencies: 50Hz-150Hz (variable) 24dB/octave; Controls: 35Hz-150Hz; Controls: Auto Power, Crossover, Level, Phase; Inputs: One (1) Line-Level LFE Input; Enclosure Tuning: Bass-Reflex via Dual Rear-Firing Tuned Ports; Power Requirements: 120V, 60Hz (US) 220-230V, 50/60Hz (EU); Power Consumption: &lt;0.5W (standby) / 205W/1.6A (max - 230V) / 205W/3.15A (max - 120V); Dimensions (W x H x D): 13.8"" x 14.2"" x 15.2""; Product Weight: 31.8 lbs."
BwEkTpjVMW9iHZxZmNGMYh,"","JBL","Speakers/Subwoofers","No description available","Type: Powered Subwoofer; Low Frequency Driver: 12-inch (300mm) Polycellulose Ribbed High Excursion; Amplifier Power: 250W RMS (500W Dynamic); Frequency Response ± 6dB: 26Hz-150Hz; Crossover Frequencies: 50Hz-150Hz (variable) 24dB/octave; Controls: 35Hz-150Hz; Controls: Auto Power, Crossover, Level, Phase; Inputs: One (1) Line-Level LFE Input; Enclosure Tuning: Bass-Reflex via Dual Rear-Firing Tuned Ports; Power Requirements: 120V, 60Hz (US) 220-230V, 50/60Hz (EU); Power Consumption: &lt;0.5W (standby) / 205W/1.6A (max - 230V) / 205W/3.15A (max - 120V); Dimensions (W x H x D): 15.9"" x 16.4"" x 17.5""; Product Weight: 41.2lbs."
E5AJbuTajbv7O6i4rY3WSR,"","HEDD Audio","audio/cables","The HEDDphone balanced 4-Pin XLR Cable is now available for sale through Sang-Logium! The 4-Pin Balanced XLR cable comes in at 2.2m in length and is perfect for anyone looking to run their HEDDphones balanced from their favourite headphone amplifier.",""
E5AJbuTajbv7O6i4rY3eHh,"","AudioQuest","audio/cables","


Solid Long-Grain Copper Conductors for Clarity
The AudioQuest Evergreen RCA-RCA Cable is crafted with solid Long-Grain Copper conductors, which have fewer oxides, impurities, and grain boundaries compared to standard copper. This superior construction reduces magnetic and electrical interference within the cable, ensuring a clearer and more precise audio signal transmission.
Foamed-Polyethylene Insulation for Reduced Distortion
To further enhance the audio signal integrity, the Evergreen cable utilizes foamed-polyethylene insulation. This creates an air insulator around the conductors, significantly reducing energy absorption and distortion in the cable. The result is a more accurate and faithful reproduction of your music.
Metal-Layer Noise-Dissipation System for RF Interference Blockage
The Evergreen cable features a metal-layer noise-dissipation system that effectively blocks RF interference from entering the ground plane of the cable. This ensures that your audio signal remains free from external noise, providing a cleaner and more enjoyable listening experience.
Double-Balanced Asymmetrical Geometry for Improved Dynamics
The double-balanced asymmetrical geometry of the Evergreen cable lowers the impedance on the ground plane and improves the dynamic response of the signal. This geometry enhances the overall audio performance, delivering a more lively and engaging sound.
High-Pressure Cold-Welded Connections for Signal Integrity
AudioQuest's high-pressure cold-welded connections are used in the Evergreen cable to ensure that the joints between the cable and hardware do not degrade the signal clarity. This meticulous construction technique preserves the integrity of the audio signal from source to output.
Gold-Plated RCA Plugs for Optimal Conductance
The RCA plugs of the Evergreen cable are gold-plated to improve electrical conductance and ensure a stable connection. Gold's resistance to oxidation, tarnishing, and corrosion means that the plugs will maintain their quality and performance over time.
Designed for the Audiophile
The AudioQuest Evergreen RCA-RCA Cable is designed with the audiophile in mind. Every aspect of its construction, from the materials used to the geometric design, is aimed at delivering the highest quality audio experience. Whether you're connecting your stereo system, home theater, or other audio components, the Evergreen cable is engineered to elevate your listening experience.
In the Box
Each AudioQuest Evergreen RCA-RCA Cable comes with everything you need to get started, including the cable itself and a user guide. Upgrade your audio setup with the Evergreen cable and experience the difference in sound quality that AudioQuest is known for.


",""
E5AJbuTajbv7O6i4rY3eQO,"","AudioQuest","audio/cables","High-quality audio cable designed for minimal signal loss and durable performance.",""
E5AJbuTajbv7O6i4rY3eZs,"","AudioQuest","audio/cables","


he AudioQuest Evergreen 3.5mm to RCA Cable is designed to reduce distortion in your signal. To achieve this the audio cable utilizes solid long-grain copper conductors in a double-balanced asymmetrical geometry with foamed-polyethylene insulation, a metal-layer noise dissipation system, and cold-welded gold-plated RCA plugs.
The solid long-grain copper conductors have less oxides, less impurities, and less grain boundaries than industry standard oxygen-free high conductivity copper, which reduces the amount of magnetic and electrical interference within the cable. The double-balanced asymmetrical geometry lowers the impedance on the ground plane and improves the dynamic response of the signal. The foamed-polyethylene insulation creates an air insulator around the conductors which significantly reduces the absorption of energy and presence of distortion in the cable. The metal-layer noise-dissipation system blocks RF interference from entering the ground plane of the cable. The use of cold-weld connections ensures that the joints between the cable and hardware have a reduced influence on signal clarity. The gold-plated RCA plugs will not oxidize, tarnish, or corrode the same way other metals can. All of these features combine to provide you with an audio cable with reduced distortion.


 



Solid Long-Grain Copper Conductors

The solid long-grain copper conductors have less oxides, less impurities, and less grain boundaries than industry standard oxygen-free high conductivity copper and therefore causes less magnetic and electrical interference within the cable






Foamed-Polyethylene Insulation

The foamed-polyethylene insulation creates an air insulator around the conductors which significantly reduces the absorption of energy and presence of distortion in the cable






Metal-Layer Noise-Dissipation System (NDS)

The metal-layer noise-dissipation system blocks RF interference from entering the ground plane of the cable






Double-Balanced Asymmetrical Geometry

The double-balanced asymmetrical geometry of the cable lowers the impedance on the ground plane and improves the dynamic response of the signal






Cold-Weld

Unlike traditional hot solder joints, the cable uses high pressure cold-weld connections






Gold-Plated RCA

The gold-plated RCA plugs will not oxidize, tarnish, or corrode the same way other metals can




",""
E5AJbuTajbv7O6i4rY3hnp,"","AudioQuest","/accessories/audio-cables","SOLID LONG-GRAIN COPPER (LGC) CONDUCTORS Solid Long-Grain Copper (LGC) allows a smoother and clearer sound than cables using regular OFHC (Oxygen-Free High-Conductivity) copper. Solid conductors prevent strand interaction, a major source of distortion. The surface quality is critical because a conductor can be considered as a rail-guide for both the electric fields within a conductor, and for the magnetic fields outside the conductor. LGC has fewer oxides within the conducting material, less impurities, less grain boundaries, and definitively better performance. HARD-CELL FOAM INSULATION Hard-Cell Foam (HCF) Insulation ensures critical signal-pair geometry. Any solid material adjacent to a conductor is actually part of an imperfect circuit. Wire insulation and circuit board materials all absorb energy. Some of this energy is stored and then released as distortion. Hard-Cell Foam Insulation is similar to the Foamed-PE used in our more affordable Bridges & Falls cables, and is nitrogen-injected to create air pockets. Because nitrogen (like air) does not absorb energy and therefore does not release any energy from or into the conductor, distortion is reduced. In addition, the stiffness of the material allows the cable's conductors to maintain a stable relationship along the cable's full length, producing a stable impedance character and further minimizing distortion. METAL-LAYER NOISE-DISSIPATION SYSTEM It's easy to accomplish 100% shield coverage. Preventing captured Radio Frequency Interference (RFI) from modulating the equipment's ground reference requires AQ's Noise-Dissipation System (NDS). Traditional shield systems typically absorb and then drain noise/RF energy to component ground, modulating and distorting the critical ""reference"" ground plane, which in turn causes a distortion of the signal. NDS ""shields the shield,"" absorbing and reflecting most of this noise/RF energy before it reaches the layer attached to ground. DOUBLE-BALANCED GEOMETRY Specifically designed for single-ended applications, Double-Balanced Geometry offers a relatively lower impedance on the ground for a richer and more dynamic experience. While many single-ended cable designs use a single path for both the ground and the shield, Double-Balanced designs separate the two for cleaner, quieter performance. COLD-WELDED, GOLD-PLATED TERMINATIONS This plug design allows for a connection devoid of solder, which is a common source of distortion. Instead of solder, the process employs a high-pressure technique. Because the ground shells are stamped instead of machined, the metal used can be chosen for low distortion instead of machinability.",""
E5AJbuTajbv7O6i4rY3kDC,"","AudioQuest"," | accessories/audio-cables","AudioQuest Golden Gate RCA Audio Cable - RCA for Audio Device - 2 x RCA Male Stereo Audio - 2 x RCA Male Stereo Audio",""
E5AJbuTajbv7O6i4rYAyMZ,"","Feliks Audio","home-audio/amplifiers","An integrated class-A SET with EH Gold 300B power tubes, fully point-to-point. Designed and manufactured 100% in Poland The driver tubes are the CV 181-TII (“golden” PSVANE 6SN7) and the rectifier is  5C3S (NOS). The output tubes use a stabilized DC current heater supply and a special system that separates the tube heating circuit from the stabilizer system. The entire amplifier circuit is built using the point-to-point method. It features selected high-quality components, for example the motorized blue ALPS potentiometer (for remote control), ""Hi End"" class transformers from Mr. Ogonowski, “red Jantzen” coupling capacitors, Caddock film resistors. All these elements achieve a natural, incredibly detailed, and musical sound, with well-controlled bass and a rich but not overly emphasized midrange. Technical Specifications
 
Output power: 2 x 8 W 
Frequency range: 15 Hz – 32 KHz +/- 3 dB 
Inputs: 3 x RCA line 
Input sensitivity: 1 V RMS 
Input impedance: 100 kOhm 
Loudspeaker outputs: 4 and 8 ohm 
Dimensions (incl. tubes):  16.1"" x 13"" x 8.3""   
Weight: 39.68 lb",""
EuRMMuzWxDMHyuoMMSxkzT,"","Definitive Technology","Speakers/Subwoofers","No description available","Transducer: 8"" Long-Throw Woofer; Passive Radiators: Dual 8"" 3XR™ Configuration; Bass Type: Bass Radiator; Dimensions (W x H x D): 12.0"" x 13.1"" x&nbsp;12.8""; Amplifier Type: Class D; Peak Power: 500W; Continuous (RMS): 200W; Frequency Response (-/+ 3dB): 35-200Hz; Low-Pass Crossover Freq: 60-120Hz; Phase Adjustment: 0/180°; LFE: Single RCA; Speaker: Left/Right 5-Way Binding Posts"
EuRMMuzWxDMHyuoMMSy2uy,"","AudioQuest","Accessories/RCA Cables","No description available","Length:&nbsp;1.5 meters: "
EuRMMuzWxDMHyuoMMSyAOK,"","Shure","Accessories/Microphone Accessories","No description available","Polar Pattern: Supercardioid; Frequency Response: 50 to 20,000 Hz; Output Impedance: 450 Ohm"
EuRMMuzWxDMHyuoMMSyEDW,"","iFi Audio","Accessories/Power Management","No description available","Input/Output USB-C: ; Compatibility USB 3.0: ; Max. Power Support Up to 100W (20V/5A): ; Dimensions: 2.0"" x 0.8"" x 0.5""; Net Weight: 21g (0.74 oz)"
IysVzF92P1Ckj0vYj2qiBH,"","JBL","Headphones/Noise Cancelling","No description available","BT mode: 20 Hz ~ 20 kHz; AUX mode: 20 Hz ~ 40 kHz; Bluetooth transmitter modulation: GFSK, &pi;/4-DQPSK, 8-DPSK; Bluetooth version: 5.3; Bluetooth profile version: HFP v1.8, A2DP v1.4, AVRCP v1.6.2; Bluetooth transmitter frequency range: 2.4 GHz &ndash; 2.4835 GHz; Bluetooth transmitter power: &le;13 dBm (EIRP); Battery type: Lithium-ion battery (850 mAh/ 3.7V); Charging time: &lt;3 hrs from empty; Music playtime with BT on and ANC off: Up to 65 hrs; Music playtime with BT on and ANC on: Up to 50 hrs; Music playtime with BT off and ANC on: Up to 40 hrs; Talk time with ANC on: Up to 28 hrs; Talk time with ANC off: Up to 33 hrs"
Y7l1IhzX2fnyiano4idEgt,"","HiFi Rose","Personal Audio/Digital Audio Players","No description available","Size (W x H x D): 13.6""&nbsp; x 5"" x 12.9""; Weight: 17.8lbs; Finish: Milled From Solid Aluminum; Display: 12.6"" Wide Viewing Angle Multi-Touch Panel; Operating System: Customized Android 7.1; Maximum output: 200W; Speaker impedance: 4~8 &Omega;; Ethernet: 10/100/1000 BASE-T; WiFi: 802.11ac Dualband USB Wireless LAN Card (Dongle); Audio input: Optical x 1, Coaxial x 1, Line-In x 1, USB DAC x 1,eARCx1; Audio output: Optical x 1, Coaxial x 1, Preamp-Out x 1; Video output: HDMI 2.0 x 1(up to 3840 x 2160 / 60Hz); File System: NTFS / exFAT / FAT32; Network Protocol: SMBv1 / FTP / WebDav; Storage Interface: USB3.0 x 2, SATA x; Audio: MQA, WAV, FLAC, AIFF, WMA, MP3, OGG, APE, DFF, DSF, AAC, CDA, AMR, APE, EC3, E-EC3, MID, MPL, MP2, MPC, MPGA, M4A, ALAC, PCM : 8kHz~768kHz(8/16/24/32bit per Sample), Native DSD : DSD64(2.8MHz)/ DSD128(5.6MHz)/DSD256(11.2MHz)/ DSD512(22.4MHz), ASF, AVI, MKV, MP4, WMV, MPEG-1, MPEG-2, MPEG-4 H.26; Video:&nbsp;&nbsp; ASF, AVI, MKV, MP4, WMV, MPEG-1, MPEG-2, MPEG-4 H.263, H.264, H.265, VC-1, VP9, VP8, MVC, H.264/ AVC, Base/Main/High/High10 profile @ level 5.1 up to 4Kx2K @ 30fps, H.265/HEVC, Main/Main10 profile @ level 5.1 High-tier up to 4Kx2K @ 60fps: ; Input power: AC100-240V, 50/60Hz; Output power: DC 24V, 5.0A; Standby power: Standby mode&lt;0.5W; Update: SW update via internet, manual update via USB; Remote control: BT Remote controller; Remote App: ROSE Connect (Android, iOS)"
Y7l1IhzX2fnyiano4idIaO,"","TEAC","Personal Audio/Digital Audio Players","No description available","Track system: 4-track 2-channel stereo; Head construction: Recording/playback head × 1, Erase head × 1; Tape type: C-46/C-60/C-90; Tape speed: 4.76cm/sec; Motor: DC servo motor × 1; Pitch control: About +/-10% (playback only); Wow and flutter: 0.25% (W.RMS); Frequency response (overall)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: ; Chrome: 50 to 12,000Hz +/-3dB; Normal: 50 to 12,000Hz +/-3dB; S/N ratio (overall): 59dB (3%THD level WTD); Winding time: About 120 seconds (C-60 tape); Line input (RCA): 462mV (50kO or higher input impedance); Line output (RCA): 462mV (50kO or higher impedance load); Pickup: 3-beam semiconductor laser; Digital filter: 8 x oversampling digital filter; Frequency response: 20Hz to 20kHz +/-2dB; Total harmonic distortion: 0.02% or less (1kHz); S/N ratio: 87dB or more (IHF-A); Analog output (RCA): 2.0V; Interface: USB 1.1 FULL SPEED (12Mbps); Playback Format: MP3; Frequency response: 20Hz to 20,000Hz(+/-2dB); S/N ratio: 85dB or less; Playback bit rate: 8k to 320k bps; Recording Format: MP3; Frequency response&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: ; CD ? USB: 20Hz to 15,000Hz(+/-3dB); LINE IN ? USB: 100Hz to 15,000Hz(+/-3dB); S/N ratio: 85dB or more; Bit rate: 128kbps; Connector: 6.3mm(1/4"") mono phone jack; Nominal input level: 0.78mV (-60dBm); Input impedance: 47kO or more; Power supply function: None; Power: AC 120V, 60Hz; Power Consumption: 13W; Dimensions (W x H x D): 17.12"" × 5.70"" × 11.33""; Weight (Net): 10.62 lb; Operating temperature: 5 to 35°C; Operating humidity: 5 to 85% (no condensation); Storage temperature: -20 to 55°C"
Y7l1IhzX2fnyiano4idIvA,"","TEAC","Personal Audio/Digital Audio Players","No description available","Track system: 4-track 2-channel stereo; Head construction: Recording/playback head × 1, Erase head × 1; Tape type: C-46/C-60/C-90; Tape speed: 4.76cm/sec; Motor: DC servo motor × 1; Pitch control: About +/-10% (playback only); Wow and flutter: 0.25% (W.RMS); Frequency response (overall)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: ; Chrome: 50 to 12,000Hz +/-3dB; Normal: 50 to 12,000Hz +/-3dB; S/N ratio (overall): 59dB (3%THD level WTD); Winding time: About 120 seconds (C-60 tape); Line input (RCA): 462mV (50kO or higher input impedance); Line output (RCA): 462mV (50kO or higher impedance load); Pickup: 3-beam semiconductor laser; Digital filter: 8 x oversampling digital filter; Frequency response: 20Hz to 20kHz +/-2dB; Total harmonic distortion: 0.02% or less (1kHz); S/N ratio: 87dB or more (IHF-A); Analog output (RCA): 2.0V; Interface: USB 1.1 FULL SPEED (12Mbps); Playback Format: MP3; Frequency response: 20Hz to 20,000Hz(+/-2dB); S/N ratio: 85dB or less; Playback bit rate: 8k to 320k bps; Recording Format: MP3; Frequency response&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: ; CD ? USB: 20Hz to 15,000Hz(+/-3dB); LINE IN ? USB: 100Hz to 15,000Hz(+/-3dB); S/N ratio: 85dB or more; Bit rate: 128kbps; Connector: 6.3mm(1/4"") mono phone jack; Nominal input level: 0.78mV (-60dBm); Input impedance: 47kO or more; Power supply function: None; Power: AC 120V, 60Hz; Power Consumption: 13W; Dimensions (W x H x D): 17.12"" × 5.70"" × 11.33""; Weight (Net): 10.62 lb; Operating temperature: 5 to 35°C; Operating humidity: 5 to 85% (no condensation); Storage temperature: -20 to 55°C"
Y7l1IhzX2fnyiano4idJqI,"","TEAC","Personal Audio/Digital Audio Players","No description available","Supported Media Audio CD, CD (CD-R/CD-RW * CD-DA format) (8cm CDs not supported): ; Connector: XLR x1 (L/R), RCA x1pair (L/R); XLR: 220&Omega;; RCA: 180&Omega;; FIXED 0dB, XLR/RCA: 2.0Vrms; FIXED +6dB, XLR/RCA: 4.0Vrms; VARIABLE, XLR: 12Vrms, RCA: 6Vrms; Connector: 1/4"" (6.3mm) stereo jack x1; Maximum output: 500mW+500mW (into 32&Omega;); USB: 1 (Type-C, USB2.0 or more); Input signal type: Linear PCM, 44.1/48/88.2/96/176.4 /192/352.8/384kHz, 16 bit, 24 bit, 32 bit, DSD.2.8/5.6/11.2/22.5MHz; Connector: RCA x1; Input level: 0.5Vp-p; Input impedance: 75&Omega;; Input signal type: Linear PCM, 32/44.1/48/88.2/96/176.4/192kHz, 16 bit/24 bit DSD2.8MHz; Connector: TOS (JEITA RC5720C) x1; Input level: -24.0 to -14.5dBm peak; Input signal type: Linear PCM, 32/44.1/48/88.2/96/176.4/192kHz, 16bit/24 bit, DSD2.8MHz; Connector: BNC x1; Input frequency: 10MHz; Input impedance: 50&Omega;; Rectangle wave: equivalent to TTL level,; Sine wave: 0.5 to 1.0Vrms; Connector: RCA x1; Output level: 0.5Vp-p; Output impedance: 75&Omega;; Connector: TOS (JEITA RC5720C) x1; Connector: 3.5mm Mono mini jack x1; Input level: 12V, 1mA; Connector: 3.5mm Mono mini jack x1; Input level: 12V; AC 120V, 60Hz: ; AC 220-240V, 50/60Hz8: "
Y7l1IhzX2fnyiano4idKTF,"","TEAC","Personal Audio/Digital Audio Players","No description available","Tracking system: 4-track, 2-channel Stereo; REC/PLAY head: one each for TAPE1 and TAPE2; ERASE head: one each for TAPE1 and TAPE2; Chrome tape (Type II): 30 to 15k Hz(±4dB); Normal tape (Type I): 30 to 13k Hz(±4dB); Analog audio input connectors: RCA × 1 pair; Nominal input level: 0.28V; Input impedance: 33k ohms; Mic input connector: Standard 6.3mm (1/4"") stereo jack; Nominal input level: 0.38mV; Input impedance: 3k ohms or more; Analogue audio output Connector: RCA × 1 pair; Nominal output level: 0.46V; Output impedance: 1k ohms; Headphone output connector: Standard 6.3mm (1/4"") stereo jack; Output power: 15mW (at 32 ohms loaded); USB digital output connector: USB Type-B; Protocol: USB2.0 FULL SPEED; Sampling frequency: 8k / 11.025k / 16k / 22.05k / 32k / 44.1k / 48k Hz; Bit-depth: 8 / 16bit; US / Canada: AC 120V, 60Hz; UK / Europe: AC 230V 50Hz"
Y7l1IhzX2fnyiano4ietix,"","Denon","Personal Audio/Bluetooth Receivers and Transmitters","No description available","Number of Power Amps: 7; 80 watts per channel (8 ohm, 20 Hz&ndash;20 Khz, 0.08% 2ch drive): ; 120 watts per channel (6 ohm, 1 kHz, 0.7% 2ch drive): ; 175 watts per channel (6 ohm, 1 kHz, 10% 1ch drive): ; Compatible with Remote App for smart phones: Denon AVR Remote; Auto Speaker Setup by Microphone: Audyssey MultEQ XT; Front Display: 1-Line FLD; GUI Languages: English, Japanese, French; HDMI In/Out: 6/1; Multi-Room Video Out: Video, HDMI None; Analog In/Out: 2/-; Phono (MM) In: Yes; Digital in Optical/Coaxial: 2/1; Multi-Room Out Analog/Digital: 1/-; Multichannel Pre-Out: Yes (2.2); Subwoofer Out: 2; Number of speaker terminals: 7; System Remote Control: RC-1257; Power Consumption: 430W; Power Consumption (No Sound, ECO on/off): 29W/39W; Standby Consumption in W: 0.1; CEC Standby Consumption in W: 0.5; Maximum Dimensions (W &times; D &times; H): ; Antenna: Horizontal: 17.1"" &times; 6.0"" x 13.3""; Antenna: Vertical: 17.1"" &times; 8.5"" x 13.3""; Weight: 19.0 lbs"
